output_idx,MAE,RMSE,R2
90,1.9590984372803757,3.9729824921002765,-0.20903077981347296
91,2.416883656717325,4.888744945212156,-0.1845466577829031
92,2.934402699160666,5.961420088043227,-0.0430247249798665
93,3.6057641125195468,7.193221724797655,0.14980086406736504
94,4.223796283479772,8.557145855207622,0.3475253062597397
95,4.996604832134125,10.081632140469564,0.32578776123687386
96,5.9351363187481425,11.804864259341803,0.28590228117513744
97,6.889479002518377,13.539000252157003,0.3211055573876664
98,7.960885680313332,15.274853476973123,0.27271322224014055
99,8.907741445237114,16.81453034156858,0.2976809952742973
100,9.855969113500654,18.200607819658785,0.2867158082921542
101,10.838438931178842,19.42744438222596,0.2448305921817706
102,11.799648537542042,20.37885202074242,0.21320121496939826
103,12.528023238428991,20.939111585476148,0.22239525628589188
104,13.22620082946838,21.415131659685347,0.22499336676043477
105,13.683215615822187,21.591343719559934,0.2259530005114124
106,13.874630468175887,21.351149739371397,0.2272978592902247
107,13.722316555460646,20.64924470545783,0.20679560063963467
108,13.309670014976447,19.659655467148312,0.20354463011054635
109,12.52633937773606,18.333981809893757,0.23911137037742577
110,11.808517126468402,17.084344632274664,0.2615687623707101
111,11.167388682915686,15.934553035875348,0.26191596028793884
112,10.42953124034302,14.862792913674808,0.3099211800442981
113,9.833584064194019,13.96920347237611,0.32890386630095225
114,9.25055076787955,13.155235571560548,0.332877873263055
115,8.610490600902121,12.265900586335514,0.32825692617471786
116,7.770815488086939,11.21036877435265,0.33592403343510574
117,6.979982757604046,10.197967289848085,0.34109960031820136
118,6.346448259993216,9.35292206986872,0.38094823461556016
119,5.812662728800362,8.600365938925243,0.4169639345739533
120,13.360914909152122,26.70755144044071,0.9826840591019886
121,5.224467868676377,6.968641937006521,0.9242986257380839
122,2.6839145033127116,4.7336801314421555,-inf
123,34.33306491938216,72.87635703833509,-38.685671021326044
124,7.970804949796495,17.403314975142248,0.9613796985531365
125,10.29917818438229,21.95443734205732,0.9476119694107058
126,4.533140951688825,9.420305524062428,0.9557129714786438
127,4.806306538240692,10.11870196133897,0.866159275939738
